"Player","Year","Total Routes","Screen","Slant","Curl","Dig","Post","Nine","Corner","Out","Comeback","Flat","Other"
"Christian Kirk","2021","269","100.0%","75.0%","77.1%","84.6%","67.4%","40.9%","66.7%","83.3%","100.0%","81.3%","40.0%"
"Marquez Valdes-Scantling","2021","217","100.0%","61.8%","52.9%","54.5%","64.5%","59.6%","76.9%","50.0%","33.3%","76.5%","55.6%"
"Ja'Marr Chase","2021","281","100.0%","71.7%","87.1%","88.9%","69.2%","68.2%","64.3%","75.0%","87.5%","76.9%","100.0%"
"Jaylen Waddle","2021","270","100.0%","81.8%","60.0%","77.3%","45.8%","67.9%","83.3%","85.7%","83.3%","87.2%","50.0%"
"Amon-Ra St. Brown","2021","221","100.0%","76.6%","94.7%","78.9%","47.8%","48.1%","100.0%","53.3%","100.0%","90.6%","64.7%"
"DeVonta Smith","2021","216","100.0%","91.9%","84.4%","78.6%","72.7%","54.1%","70.0%","82.4%","88.9%","70.0%","80.0%"
"Elijah Moore","2021","241","100.0%","77.1%","86.2%","82.9%","72.7%","67.4%","100.0%","66.7%","83.3%","82.4%","100.0%"
"Rashod Bateman","2021","285","100.0%","84.1%","92.9%","70.3%","73.7%","53.5%","45.5%","84.2%","100.0%","77.8%","83.3%"
"Joshua Palmer","2021","196","100.0%","69.8%","80.6%","40.0%","72.2%","36.4%","66.7%","81.8%","66.7%","76.9%","66.7%"
"Nico Collins","2021","223","100.0%","71.7%","94.4%","84.2%","54.5%","51.2%","50.0%","57.9%","75.0%","100.0%","66.7%"
"Kadarius Toney","2021","183","100.0%","77.1%","60.9%","80.0%","54.5%","53.8%","40.0%","50.0%","33.3%","84.6%","71.4%"
"Rondale Moore","2021","154","100.0%","88.0%","44.4%","40.0%","50.0%","50.0%","66.7%","50.0%","100.0%","83.3%","46.2%"
"Terrace Marshall","2021","214","100.0%","54.5%","72.0%","50.0%","47.1%","29.0%","25.0%","35.3%","75.0%","84.0%","71.4%"
"A.J. Brown","2021","230","100.0%","84.6%","83.3%","92.3%","75.0%","60.7%","54.5%","62.5%","90.0%","76.9%","100.0%"
"Hunter Renfrow","2021","249","100.0%","76.6%","76.3%","88.2%","61.1%","35.3%","62.5%","40.0%","100.0%","84.6%","70.8%"
"Darnell Mooney","2021","278","100.0%","71.2%","78.8%","73.7%","61.1%","65.6%","71.4%","72.0%","83.3%","85.7%","70.0%"
"Michael Pittman","2021","273","100.0%","85.5%","82.7%","84.5%","66.7%","56.0%","81.8%","77.3%","100.0%","100.0%","57.1%"
"Gabriel Davis","2021","235","100.0%","75.0%","78.0%","58.3%","62.5%","67.4%","75.0%","66.7%","66.7%","61.5%","83.3%"
"Jerry Jeudy","2021","212","100.0%","73.2%","88.9%","77.8%","69.2%","58.3%","62.5%","72.7%","50.0%","69.2%","55.6%"
"Marquise Brown","2021","310","100.0%","73.7%","83.3%","50.0%","77.4%","63.5%","70.0%","78.6%","81.0%","90.0%","58.3%"
"CeeDee Lamb","2021","287","100.0%","81.1%","84.8%","88.0%","66.7%","66.0%","77.8%","77.3%","80.0%","93.3%","88.2%"
"Deebo Samuel","2021","234","100.0%","85.3%","53.3%","82.6%","90.0%","58.8%","50.0%","80.0%","45.5%","92.3%","53.8%"
"Justin Jefferson","2021","253","100.0%","85.7%","90.5%","87.9%","89.5%","66.7%","61.9%","85.2%","80.0%","73.3%","83.3%"
"Tee Higgins","2021","290","100.0%","76.8%","84.4%","83.3%","78.9%","59.5%","56.3%","75.0%","84.6%","77.8%","88.9%"
"Terry McLaurin","2021","299","100.0%","89.2%","84.2%","75.0%","76.6%","70.7%","62.5%","80.0%","70.8%","100.0%","90.9%"
"DK Metcalf","2021","224","85.7%","76.5%","87.5%","90.9%","84.2%","61.2%","53.3%","66.7%","63.6%","86.7%","80.0%"
"Brandon Aiyuk","2021","224","100.0%","82.6%","66.7%","80.6%","89.3%","54.5%","63.6%","74.2%","81.3%","75.0%","58.3%"
"Diontae Johnson","2021","284","100.0%","90.6%","94.7%","88.9%","93.8%","55.6%","71.4%","88.9%","75.0%","88.9%","77.8%"
"Chase Claypool","2021","267","100.0%","77.3%","77.3%","50.0%","65.0%","44.9%","40.0%","77.8%","75.0%","82.4%","0.0%"
"Van Jefferson","2021","283","100.0%","71.7%","82.8%","59.0%","81.5%","63.8%","69.6%","84.6%","78.9%","84.2%","53.8%"
"Mike Williams","2021","271","100.0%","77.5%","72.4%","74.1%","69.6%","62.1%","33.3%","64.3%","87.5%","100.0%","28.6%"
