"Player","Year","Tar","Contested Tar","Contested Tar%","Contested Catch%"
"Jamison Crowder","2016","58","8","13.8%","50.0%"
"Jarvis Landry","2016","73","11","15.1%","81.8%"
"Jeremy Maclin","2016","63","10","15.9%","60.0%"
"John Brown","2016","59","9","15.3%","66.7%"
"Jordan Matthews","2016","81","3","3.7%","66.7%"
"Jordy Nelson","2016","82","13","15.9%","69.2%"
"Julian Edelman","2016","78","8","10.3%","50.0%"
"Julio Jones","2016","80","15","18.8%","73.3%"
"Kelvin Benjamin","2016","59","18","30.5%","72.7%"
"Kenny Britt","2016","64","20","31.3%","60.0%"
"Larry Fitzgerald","2016","85","17","20.0%","70.6%"
"Michael Crabtree","2016","72","14","19.4%","85.7%"
"Michael Thomas","2016","69","15","21.7%","73.3%"
"Mike Evans","2016","93","20","21.5%","80.0%"
"Mike Wallace","2016","56","8","14.3%","62.5%"
"Odell Beckham","2016","89","16","18.0%","68.8%"
"Pierre Garcon","2016","57","12","21.1%","66.7%"
"Quincy Enunwa","2016","51","12","23.5%","66.7%"
"Randall Cobb","2016","65","11","16.9%","45.5%"
"Rishard Matthews","2016","67","18","26.9%","61.1%"
"Stefon Diggs","2016","74","12","16.2%","75.0%"
"Sterling Shepard","2016","55","7","12.7%","71.4%"
"T.Y. Hilton","2016","91","9","9.9%","88.9%"
"Terrelle Pryor","2016","75","17","22.7%","52.9%"
"Tyler Lockett","2016","50","8","16.0%","62.5%"
"Tyreek Hill","2016","57","5","8.8%","80.0%"
"Tyrell Williams","2016","74","12","16.2%","58.3%"
"Willie Snead","2016","53","7","13.2%","85.7%"
"A.J. Green","2015","70","9","12.9%","88.9%"
"Albert Wilson","2015","35","3","8.6%","66.7%"
"Allen Robinson","2015","68","20","29.4%","75.0%"
"Amari Cooper","2015","67","13","19.4%","61.5%"
"Anquan Boldin","2015","57","15","26.3%","86.7%"
"Brandin Cooks","2015","66","11","16.7%","36.4%"
"Bruce Ellington","2015","13","1","7.7%","0.0%"
"Calvin Johnson","2015","69","22","31.9%","77.3%"
"DeSean Jackson","2015","50","3","6.0%","66.7%"
"DeVante Parker","2015","46","13","28.3%","53.8%"
"Devin Funchess","2015","44","8","18.2%","62.5%"
"Donte Moncrief","2015","52","11","21.2%","63.6%"
"Dorial Green-Beckham","2015","49","14","28.6%","71.4%"
"Doug Baldwin","2015","51","2","3.9%","50.0%"
"Golden Tate","2015","62","9","14.5%","66.7%"
"Jamison Crowder","2015","44","6","13.6%","50.0%"
"John Brown","2015","61","11","18.0%","63.6%"
"Kamar Aiken","2015","56","12","21.4%","58.3%"
"Keenan Allen","2015","93","23","24.7%","82.6%"
"Martavis Bryant","2015","75","16","21.3%","68.8%"
"Marvin Jones","2015","53","10","18.9%","90.0%"
"Mike Evans","2015","94","19","20.2%","78.9%"
"Nelson Agholor","2015","30","3","10.0%","66.7%"
"Sammy Watkins","2015","70","9","12.9%","55.6%"
"Stefon Diggs","2015","58","9","15.5%","66.7%"
"Torrey Smith","2015","33","5","15.2%","60.0%"
"Travis Benjamin","2015","56","8","14.3%","25.0%"
"Tyler Lockett","2015","36","5","13.9%","80.0%"
"Willie Snead","2015","57","9","15.8%","44.4%"
